class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	10	10	16	302	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	0	0	-1	-1	-1	-1	29	29	17	76	5	120	59	115	132	191	61	149	59	88	248	307	5	120	59	115	132	191	3	59	59	56	197	226	29	59	29	30	97	126	119	149	29	30	197	226	119	149	29	30	132	191	151	178	59	27	248	307	122	177	59	55	17	76	122	177	59	55
Druid	320	640	0	441	11	9	320	639	124	385	29	29	325	383	5	121	58	116	453	509	5	89	56	84	581	639	5	121	58	116	517	571	5	59	54	54	404	427	5	29	23	24	388	411	96	120	23	24	419	442	96	120	23	24	453	505	96	121	52	25	518	572	66	120	54	54	390	440	35	89	54	54
Assassin	320	640	0	441	11	9	320	639	124	385	29	29	325	383	5	121	58	116	453	509	5	89	56	84	581	639	5	121	58	116	517	571	5	59	54	54	404	427	5	29	23	24	388	411	96	120	23	24	419	442	96	120	23	24	453	505	96	121	52	25	518	572	66	120	54	54	390	440	35	89	54	54
Amazon2	400	720	60	501	11	9	400	719	184	445	29	29	405	463	65	181	58	116	533	589	65	149	56	84	661	719	65	181	58	116	597	651	65	119	54	54	484	507	65	89	23	24	468	491	156	180	23	24	499	522	156	180	23	24	533	585	156	181	52	25	598	652	126	180	54	54	470	524	95	149	54	54
Sorceress2	400	720	60	501	11	9	400	719	184	445	29	29	405	463	65	181	58	116	533	589	65	149	56	84	661	719	65	181	58	116	597	651	65	119	54	54	484	507	65	89	23	24	468	491	156	180	23	24	499	522	156	180	23	24	533	585	156	181	52	25	598	652	126	180	54	54	470	524	95	149	54	54
Necromancer2	400	720	60	501	11	9	400	719	184	445	29	29	405	463	65	181	58	116	533	589	65	149	56	84	661	719	65	181	58	116	597	651	65	119	54	54	484	507	65	89	23	24	468	491	156	180	23	24	499	522	156	180	23	24	533	585	156	181	52	25	598	652	126	180	54	54	470	524	95	149	54	54
Paladin2	400	720	60	501	11	9	400	719	184	445	29	29	405	463	65	181	58	116	533	589	65	149	56	84	661	719	65	181	58	116	597	651	65	119	54	54	484	507	65	89	23	24	468	491	156	180	23	24	499	522	156	180	23	24	533	585	156	181	52	25	598	652	126	180	54	54	470	524	95	149	54	54
Barbarian2	400	720	60	501	11	9	400	719	184	445	29	29	405	463	65	181	58	116	533	589	65	149	56	84	661	719	65	181	58	116	597	651	65	119	54	54	484	507	65	89	23	24	468	491	156	180	23	24	499	522	156	180	23	24	533	585	156	181	52	25	598	652	126	180	54	54	470	524	95	149	54	54
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	5	100	385	91	227	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	5	100	385	305	447	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	96	154	324	333	446	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	10	12	96	386	75	417	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	10	10	96	382	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	97	156	65	180	59	115	212	271	121	209	59	88	328	387	65	180	59	115	212	271	63	119	59	56	277	306	89	119	29	30	177	206	179	209	29	30	277	306	179	209	29	30	212	271	211	238	59	27	328	387	182	237	59	55	97	156	182	237	59	55
Druid2	400	720	60	501	11	9	400	719	184	445	29	29	405	463	65	181	58	116	533	589	65	149	56	84	661	719	65	181	58	116	597	651	65	119	54	54	484	507	65	89	23	24	468	491	156	180	23	24	499	522	156	180	23	24	533	585	156	181	52	25	598	652	126	180	54	54	470	524	95	149	54	54
Assassin2	400	720	60	501	11	9	400	719	184	445	29	29	405	463	65	181	58	116	533	589	65	149	56	84	661	719	65	181	58	116	597	651	65	119	54	54	484	507	65	89	23	24	468	491	156	180	23	24	499	522	156	180	23	24	533	585	156	181	52	25	598	652	126	180	54	54	470	524	95	149	54	54
